url,error
http://www.pressherald.com/2026/02/27/union-leaders-tell-schumer-to-stop-backing-janet-mills-over-graham-platner/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2026/02/27/union-leaders-tell-schumer-to-stop-backing-janet-mills-over-graham-platner/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12f89fdf0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2025/12/21/how-the-owner-of-freckle-salvage-and-the-vault-boosted-winthrops-downtown/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2025/12/21/how-the-owner-of-freckle-salvage-and-the-vault-boosted-winthrops-downtown/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9370>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2026/02/05/maine-state-police-identify-man-killed-in-standish-shooting/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2026/02/05/maine-state-police-identify-man-killed-in-standish-shooting/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9040>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.sunjournal.com/2025/11/20/green-wednesday-brings-a-pre-holiday-bump-to-maine-cannabis/,"HTTPConnectionPool(host='www.sunjournal.com', port=80): Max retries exceeded with url: /2025/11/20/green-wednesday-brings-a-pre-holiday-bump-to-maine-cannabis/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda140>: Failed to resolve 'www.sunjournal.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/10/14/harpswell-man-dies-in-tuesday-morning-fire/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/10/14/harpswell-man-dies-in-tuesday-morning-fire/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb570>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2026/03/02/south-portland-is-finding-creative-ways-to-fill-vacant-spaces/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2026/03/02/south-portland-is-finding-creative-ways-to-fill-vacant-spaces/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd8050>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2025/11/08/late-goal-lifts-cheverus-to-third-straight-class-a-field-hockey-title/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2025/11/08/late-goal-lifts-cheverus-to-third-straight-class-a-field-hockey-title/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda7a0>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/11/25/keep-the-pantry-filled-with-homemade-holiday-snacks-for-hungry-guests/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/11/25/keep-the-pantry-filled-with-homemade-holiday-snacks-for-hungry-guests/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb020>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/10/10/south-portland-residents-will-decide-on-turf-grass-or-nothing/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/10/10/south-portland-residents-will-decide-on-turf-grass-or-nothing/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb130>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/09/28/maines-food-pantries-stare-down-volunteer-shortage-while-anticipating-cuts/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/09/28/maines-food-pantries-stare-down-volunteer-shortage-while-anticipating-cuts/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda8b0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/10/25/portland-sweeps-a-south-cross-country-freeport-waynflete-girls-repeat-in-b-and-c-south/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/10/25/portland-sweeps-a-south-cross-country-freeport-waynflete-girls-repeat-in-b-and-c-south/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9ae0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2026/01/22/asylum-seeker-arrested-at-ice-field-office-in-scarborough-now-in-massachusetts/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2026/01/22/asylum-seeker-arrested-at-ice-field-office-in-scarborough-now-in-massachusetts/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda030>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
